geography,species,period,threshold,includes_dprk_extrapolation,uncertainty_status,mean_suitable_months,mean_suitable_months_unweighted,median_suitable_months,p25_suitable_months,p75_suitable_months,suitable_months_sd,mean_suitable_months_observed,mean_valid_months,mean_first_suitable_month,mean_last_suitable_month,mean_suitable_span_months,mean_longest_contiguous_run,share_complete_cell_years_with_any_suitable,share_suitable_area_with_any_suitable,n_total_cells,n_total_cell_years,n_complete_cell_years,n_any_suitable_cell_years,n_no_suitable_cell_years,complete_cell_year_fraction,unweighted_suitable_month_count,unweighted_suitable_span_months,unweighted_longest_contiguous_run
Japan,aegypti,1995-2004,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,3.122881,3.057990,3.000000,2.000000,4.000000,1.835983,3.057990,12.000000,6.303147,8.820066,3.150383,3.092171,0.888797,1.000000,607,6070,6070,5395,675,1.000000,3.057990,3.084349,3.028666
Japan,aegypti,2015-2024,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,3.406604,3.352883,3.000000,2.000000,4.000000,1.700810,3.352883,12.000000,6.234037,8.916221,3.481904,3.315537,0.942175,1.000000,607,6070,6070,5719,351,1.000000,3.352883,3.424547,3.266392
Korea-Japan,aegypti,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.750238,2.702559,3.000000,1.000000,4.000000,1.655745,2.702559,12.000000,6.405954,8.582962,2.772737,2.722991,0.867451,1.000000,977,9770,9770,8475,1295,1.000000,2.702559,2.723951,2.676766
Korea-Japan,aegypti,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,3.040902,2.990072,3.000000,2.000000,4.000000,1.696372,2.990072,12.000000,6.280108,8.690424,3.066746,3.013057,0.893756,1.000000,977,9770,9770,8732,1038,1.000000,2.990072,3.015148,2.963153
Korea-Japan,aegypti,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,3.343292,3.299181,4.000000,2.000000,4.000000,1.573416,3.299181,12.000000,6.210891,8.788623,3.398900,3.277528,0.947390,1.000000,977,9770,9770,9256,514,1.000000,3.299181,3.352405,3.236438
North Korea,albopictus,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,3.649965,3.638140,4.000000,3.000000,4.000000,1.100039,3.638140,12.000000,5.956309,8.615122,3.650432,3.649498,0.997674,1.000000,215,2150,2150,2145,5,1.000000,3.638140,3.638605,3.637674
North Korea,albopictus,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,3.941374,3.930698,4.000000,3.000000,5.000000,1.050753,3.930698,12.000000,5.774761,8.720308,3.943731,3.938544,0.999535,1.000000,215,2150,2150,2149,1,1.000000,3.930698,3.933023,3.927907
North Korea,albopictus,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.146392,4.135814,4.000000,4.000000,5.000000,1.033263,4.135814,12.000000,5.650310,8.823223,4.161477,4.131306,0.997209,1.000000,215,2150,2150,2144,6,1.000000,4.135814,4.150698,4.120930
South Korea,albopictus,1975-1984,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,4.952073,4.946452,5.000000,4.000000,6.000000,0.881836,4.946452,12.000000,5.305320,9.261184,4.955864,4.948283,1.000000,1.000000,155,1550,1550,1550,0,1.000000,4.946452,4.950323,4.942581
South Korea,albopictus,1995-2004,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,5.142495,5.136774,5.000000,5.000000,6.000000,0.907256,5.136774,12.000000,5.163713,9.310048,5.146335,5.138654,1.000000,1.000000,155,1550,1550,1550,0,1.000000,5.136774,5.140645,5.132903
South Korea,albopictus,2015-2024,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,5.460626,5.454839,6.000000,5.000000,6.000000,0.865499,5.454839,12.000000,5.066640,9.527266,5.460626,5.460626,1.000000,1.000000,155,1550,1550,1550,0,1.000000,5.454839,5.454839,5.454839
Korean Peninsula,albopictus,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.212059,4.186216,4.000000,3.000000,5.000000,1.202266,4.186216,12.000000,5.674924,8.894378,4.213961,4.210157,0.998649,1.000000,370,3700,3700,3695,5,1.000000,4.186216,4.188108,4.184324
Korean Peninsula,albopictus,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.459874,4.435946,5.000000,4.000000,5.000000,1.157719,4.435946,12.000000,5.510914,8.974953,4.462871,4.456608,0.999730,1.000000,370,3700,3700,3699,1,1.000000,4.435946,4.438919,4.432703
Korean Peninsula,albopictus,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.713721,4.688378,5.000000,4.000000,5.000000,1.165154,4.688378,12.000000,5.397959,9.127619,4.722294,4.705147,0.998378,1.000000,370,3700,3700,3694,6,1.000000,4.688378,4.697027,4.679730
Japan,albopictus,1975-1984,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,4.627760,4.568534,4.000000,4.000000,6.000000,1.640292,4.568534,12.000000,5.667797,9.349647,4.650705,4.598759,0.993081,1.000000,607,6070,6070,6028,42,1.000000,4.568534,4.590610,4.540692
Japan,albopictus,1995-2004,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,4.909234,4.847117,5.000000,4.000000,6.000000,1.632899,4.847117,12.000000,5.518306,9.455417,4.925522,4.890287,0.997694,1.000000,607,6070,6070,6056,14,1.000000,4.847117,4.862603,4.829160
Japan,albopictus,2015-2024,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,5.149306,5.091433,5.000000,4.000000,6.000000,1.599156,5.091433,12.000000,5.344771,9.553478,5.198055,5.076978,0.998023,1.000000,607,6070,6070,6058,12,1.000000,5.091433,5.137727,5.022735
Korea-Japan,albopictus,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.471488,4.423746,4.000000,4.000000,6.000000,1.501072,4.423746,12.000000,5.670485,9.177927,4.486523,4.452675,0.995189,1.000000,977,9770,9770,9723,47,1.000000,4.423746,4.438178,4.405732
Korea-Japan,albopictus,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.740309,4.691402,5.000000,4.000000,6.000000,1.484508,4.691402,12.000000,5.515524,9.274564,4.751601,4.727257,0.998465,1.000000,977,9770,9770,9755,15,1.000000,4.691402,4.702149,4.679017
Korea-Japan,albopictus,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,4.985559,4.938792,5.000000,4.000000,6.000000,1.463215,4.938792,12.000000,5.364772,9.393339,5.019205,4.937198,0.998158,1.000000,977,9770,9770,9752,18,1.000000,4.938792,4.970829,4.892835
